company,pillar,subreq_id,subreq_desc,score,confidence,evidence_source,evidence_ref,gap_note,ris_review
BHP,Metrics & Targets,M11,Targets with baseline/period/interim milestones,3,high,Annual Report 2025 (OFR 9.8),AR2025 OFR 9.8 p.41,"Operational target -30% by FY2030 vs FY2020 baseline; net zero operational CY2050. Clear baseline and period; interim milestones limited (non-linear pathway).",
BHP,Metrics & Targets,M12,GHG target detail (scopes/gross-net/offsets/sectoral/Paris),3,high,Annual Report 2025 (OFR 9.8),AR2025 OFR 9.8 p.41-42,"Operational target met via structural abatement not offsets (explicit) and aligned to a 1.5C scenario - a genuine strength. But Scope 3 is only a long-term net zero GOAL described as uncertain, with no hard Scope 3 reduction target. Key gap.",
BHP,Metrics & Targets,M13,Performance vs target + third-party assurance,3,high,Annual Report 2025 (OFR 9.8; 9.14 Independent Assurance),AR2025 OFR 9.8 p.41 & 9.14,"Performance reported (36% below FY2020 baseline FY2025); independent assurance section (9.14) and assured sustainability data. Solid.",
Woodside,Governance,G1,Named oversight body with responsibilities in ToR/charters,4,high,Woodside Annual Report 2025 (Sec 3.6.2 Governance),AR2025 s3.6.2 p.46-47,Board plus Sustainability Committee and Audit & Risk Committee oversee climate; charters and management accountabilities clearly disclosed.,
Woodside,Governance,G2,Oversight body skills/competencies to govern climate,3,medium,Woodside Annual Report 2025,AR2025 s3.6.2-3.6.3 p.47-48,"Board industry experience, technical knowledge and access to expertise cited; a formal climate skills matrix not explicitly confirmed.",
Woodside,Governance,G3,How and how often the body is informed,4,high,Woodside Annual Report 2025,AR2025 s3.6.2 p.46,"ELT informed via presentations/Board papers/periodic updates; strategic risks reviewed by Board, ARC and ELT at least twice a year.",
Woodside,Governance,G4,Body considers climate in strategy/decisions/trade-offs,4,high,Woodside Annual Report 2025,AR2025 s3.6.2-3.6.3 p.45-48,Board balances divergent stakeholder views and sets direction; climate built into capital allocation; Board reviewed the climate risk assessment outcomes.,
Woodside,Governance,G5,Oversight of targets + link to remuneration,4,high,Woodside Annual Report 2025 (Rem),AR2025 s3.6.2 p.45; s4.3,Board oversees GHG targets; climate metrics are an explicit 15% of the Company Scorecard in Variable Annual Reward (gross Scope 1+2 + new-energy progress).,
Woodside,Governance,G6,Management role and integration with functions,4,high,Woodside Annual Report 2025,AR2025 s3.6.2 p.46,CEO accountable; EVP Sustainability on ELT; VP Climate; cross-functional integration into the risk management process disclosed.,
Woodside,Strategy,S1,Specific climate risks/opportunities identified (physical vs transition),4,high,Woodside Annual Report 2025 (Sec 3.6.3/3.6.7),AR2025 s3.6.3 p.48; s3.6.7,"Discloses current and anticipated material physical risks, transition risks and transition opportunities across the business and value chain.",
Woodside,Strategy,S2,Time horizons defined and linked to planning,3,high,Woodside Annual Report 2025,AR2025 s3.6.3 p.48,"Risks assessed over short/medium/long term and against cash flows, access to finance and cost of capital; explicit year-band definitions to confirm.",
Woodside,Strategy,S3,Business model/value chain effects and concentration,3,high,Woodside Annual Report 2025 (Sec 2.5),AR2025 s2.5 p.22,Business model and value chain section; LNG demand scenarios; concentration in LNG/gas disclosed.,
Woodside,Strategy,S4,Strategy/decision-making + transition plan with assumptions and progress,3,high,Woodside Annual Report 2025 + Climate & Sustainability Summary,AR2025 s3.6.7 p.69-71,"Climate strategy integrated (reduce Scope 1+2; invest in transition); asset decarbonisation plans and progress reported. Net zero 2050 is an aspiration, not a committed Paris-aligned plan.",
Woodside,Strategy,S5,Financial effects quantified + reflected in financial planning,3,high,Woodside Annual Report 2025,AR2025 s3.6.3 p.48; s3.6.7 p.69,"Risks assessed against cash flows/finance/cost of capital with financial-impact assessment where information sufficient; internal carbon price US$80/t used in capital allocation. Stronger than most, still partial.",
Woodside,Strategy,S6,Climate resilience via scenario analysis (1.5C + high-warming),3,medium,Woodside Annual Report 2025 + Summary,AR2025 s3.6.7 p.69; Summary p.19,Investment resilience tested via scenario analysis incl. 1.5C pathways. Disclosure of a high-warming (>2.5C) physical scenario per AASB S2 two-scenario rule not confirmed; verify in s3.6.8.,
Woodside,Risk Management,R1,Processes to identify and assess climate risks (inputs/scenarios),4,high,Woodside Annual Report 2025 (Sec 3.6.3 / 3.6.8.1),AR2025 s3.6.3 p.48,Risk management process (s3.7) with climate risk identification process in Basis of Preparation (s3.6.8.1); scenario analysis used.,
Woodside,Risk Management,R2,Nature/likelihood/magnitude assessment,3,high,Woodside Annual Report 2025,AR2025 s3.6.3 p.48,Risks categorised strategic/emerging/current; Board sets risk appetite per strategic risk; assessed against financial factors.,
Woodside,Risk Management,R3,Prioritisation relative to other risks,3,high,Woodside Annual Report 2025,AR2025 s3.6.3 p.48,Materiality assessment prioritises topics; strategic risks (incl. climate) reviewed by the Board.,
Woodside,Risk Management,R4,Monitoring and changes from prior period,3,high,Woodside Annual Report 2025,AR2025 s3.6.3 p.48,"Strategic risks reviewed at least twice yearly; new material topic identified for 2026, showing live monitoring.",
Woodside,Risk Management,R5,Processes for climate opportunities,3,high,Woodside Annual Report 2025,AR2025 s3.6.3 p.48,Transition opportunities assessed alongside risks within the same process.,
Woodside,Risk Management,R6,Integration into overall ERM,4,high,Woodside Annual Report 2025,AR2025 s3.6.3 p.48,Sustainability/climate risks explicitly incorporated into the enterprise risk management process. Clear integration.,
Woodside,Metrics & Targets,M1,Absolute gross Scope 1 emissions,4,high,Woodside Annual Report 2025 (Sec 3.6.7),AR2025 s3.6.7 p.69-71,"Gross equity Scope 1+2 = 6,616 kt CO2-e (2.5% below 2024); Scope 1 disclosed.",
Woodside,Metrics & Targets,M2,Absolute gross Scope 2 (location + market based),3,medium,Woodside Annual Report 2025 / climate data table,AR2025 s3.6.8; climate data table,Scope 2 disclosed on equity basis; confirm both location-based and market-based.,
Woodside,Metrics & Targets,M3,Absolute gross Scope 3 with categories,3,high,Woodside Annual Report 2025,AR2025 s3.6.7-3.6.8,Scope 3 emissions disclosed (dominated by use of sold product); category granularity to confirm in the climate data table.,
Woodside,Metrics & Targets,M4,Assets/activities vulnerable to transition risk (amount/%),2,medium,Woodside Annual Report 2025,AR2025 s3.6.3,Transition risk to an LNG-growth portfolio discussed qualitatively; amount/% of assets vulnerable not quantified in AASB S2 form.,
Woodside,Metrics & Targets,M5,Assets/activities vulnerable to physical risk (amount/%),2,medium,Woodside Annual Report 2025,AR2025 s3.6.3,Physical climate risk identified; amount/% of assets vulnerable not quantified.,
Woodside,Metrics & Targets,M6,Assets/activities aligned with climate opportunities (amount/%),2,medium,Woodside Annual Report 2025,AR2025 s3.6.7 p.71,New-energy investment quantified ($5bn target) but % of assets aligned not expressed in the cross-industry metric form.,
Woodside,Metrics & Targets,M7,Capital deployment toward climate,3,high,Woodside Annual Report 2025,AR2025 s3.6.7 p.71,Scope 3 investment target US$5bn by 2030; Beaumont New Ammonia US$2.35bn; decarbonisation capex disclosed.,
Woodside,Metrics & Targets,M8,Internal carbon price (applied + price level),4,high,Woodside Annual Report 2025,AR2025 s3.6.7 p.69-71,"Explicit internal carbon price US$80/t CO2-e (real 2024) applied in capital allocation and abatement decisions; methane priced at ~US$6,720/t (x84 GWP). Strong.",
Woodside,Metrics & Targets,M9,Climate factored into executive remuneration (% linked),4,high,Woodside Annual Report 2025,AR2025 s3.6.2 p.45; s4.3,"Climate = explicit 15% of Company Scorecard (gross Scope 1+2 performance + new-energy progress), excluding offsets. Clear and quantified.",
Woodside,Metrics & Targets,M10,Industry-based (SASB) metrics,3,medium,Woodside Annual Report 2025,AR2025 s3.6.2 p.47,"Reports against Ipieca (oil & gas), IOGP and GRI; sector metrics present; SASB mapping to confirm.",
Woodside,Metrics & Targets,M11,Targets with baseline/period/interim milestones,3,high,Woodside Annual Report 2025,AR2025 s3.6.7 p.69-71,Net equity Scope 1+2 -30% by 2030 vs starting base; methane <0.2% to 2029; Scope 3 5 Mtpa abatement + US$5bn investment by 2030. Baselines/periods defined; interim annual.,
Woodside,Metrics & Targets,M12,GHG target detail (scopes/gross-net/offsets/sectoral/Paris),3,high,Woodside Annual Report 2025 (Sec 3.6.7),AR2025 s3.6.7 p.71,"Transparent on offsets: 1,283 kt credits retired to meet 5,334 kt net target; prioritises abatement first and excludes offsets from the scorecard. BUT the net Scope 1+2 target leans on offsets and there is NO absolute Scope 3 reduction target (only intensity/abatement/investment). Key gap.",
Woodside,Metrics & Targets,M13,Performance vs target + third-party assurance,4,high,Woodside Annual Report 2025 (Sec 3.6.7),AR2025 s3.6.7 p.71,"2025 net target (5,334 kt) met; gross 6,616 kt externally assured. Performance tracked with external limited assurance.",
Rio Tinto,Governance,G1,Named oversight body with responsibilities in ToR/charters,4,high,Rio Tinto Annual Report 2025 (Climate),AR2025 Climate p.72; CAP 2025,Board oversight; CAP delivery managed via a central team since 2022; committee structure disclosed.,
Rio Tinto,Governance,G2,Oversight body skills/competencies to govern climate,3,medium,Rio Tinto Annual Report 2025,AR2025 Governance,Board climate competence implied via CAP governance; explicit climate skills matrix not confirmed in reviewed sections.,
Rio Tinto,Governance,G3,How and how often the body is informed,3,high,Rio Tinto Annual Report 2025,AR2025 Climate p.72-73,Scenario analysis and strategy engagement taken to the Board; CAP progress reported.,
Rio Tinto,Governance,G4,Body considers climate in strategy/decisions/trade-offs,4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.72,"Climate integrated into financial planning, capital plans and government engagement; Board strategy engagement on scenarios.",
Rio Tinto,Governance,G5,Oversight of targets + link to remuneration,4,high,Rio Tinto Annual Report 2025 (Rem),AR2025 p.122-139,Climate-related measures incorporated in both the STIP and LTIP; % of executive remuneration linked to climate disclosed.,
Rio Tinto,Governance,G6,Management role and integration with functions,4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.72,Central CAP delivery team and defined organisational model for climate reporting; management roles disclosed.,
Rio Tinto,Strategy,S1,Specific climate risks/opportunities identified (physical vs transition),4,high,Rio Tinto Annual Report 2025 (Climate),AR2025 Climate p.74-76,Transition and physical risks and portfolio opportunities identified via scenario analysis; granular and asset-aware.,
Rio Tinto,Strategy,S2,Time horizons defined and linked to planning,3,high,Rio Tinto Annual Report 2025,AR2025 Climate p.~74,Short/medium/long-term horizons used; medium-term aligned with extended planning; explicit year bands to confirm.,
Rio Tinto,Strategy,S3,Business model/value chain effects and concentration,4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.76-83,"Portfolio impacts derived from scenario analysis; transition-materials (aluminium, copper, lithium) opportunity and value-chain effects disclosed.",
Rio Tinto,Strategy,S4,Strategy/decision-making + transition plan with assumptions and progress,4,high,Rio Tinto 2025 Climate Action Plan + AR2025,CAP 2025; AR2025 Climate,Full Climate Action Plan (2025 CAP) with assumptions and progress; central delivery since 2022. Strong.,
Rio Tinto,Strategy,S5,Financial effects quantified + reflected in financial planning,3,high,Rio Tinto Annual Report 2025,"AR2025 Climate p.~58, p.75-80","Quantifies physical-risk exposure (all inventory and PPE, ~$91.6bn) and annualised damage; decarbonisation spend and internal carbon price in planning. Strongest of the three; full position/performance/cash-flow quantification still partial.",
Rio Tinto,Strategy,S6,Climate resilience via scenario analysis (1.5C + high-warming),4,high,Rio Tinto Annual Report 2025 (Climate),AR2025 Climate p.73-74 (scenario pathways to 2100),Multiple temperature pathways to 2100 including an intermediate/high-warming scenario (SSP2-4.5) and bottom-up asset-level physical resilience assessment. Meets the two-scenario rule incl. high-warming.,
Rio Tinto,Risk Management,R1,Processes to identify and assess climate risks (inputs/scenarios),4,high,Rio Tinto Annual Report 2025 (Climate),AR2025 Climate p.74-80,"Detailed bottom-up, asset-level physical risk modelling using IPCC scenarios; scenario analysis to identify transition and physical risks.",
Rio Tinto,Risk Management,R2,Nature/likelihood/magnitude assessment,4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.80,Annualised damage risk score; site/region/Group aggregation; post-2040 differentiation of physical risk severity.,
Rio Tinto,Risk Management,R3,Prioritisation relative to other risks,3,high,Rio Tinto Annual Report 2025,AR2025 Climate p.74-75,Most material physical risks identified at Group level; prioritisation disclosed.,
Rio Tinto,Risk Management,R4,Monitoring and changes from prior period,3,high,Rio Tinto Annual Report 2025,AR2025 Climate p.72-74,CAP managed via central team since 2022; methodology evolving and disclosed.,
Rio Tinto,Risk Management,R5,Processes for climate opportunities,3,high,Rio Tinto Annual Report 2025,AR2025 Climate p.83,Transition-materials opportunities assessed within the same approach.,
Rio Tinto,Risk Management,R6,Integration into overall ERM,4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.72,"Climate risk integrated into the overall approach, financial planning and capital plans.",
Rio Tinto,Metrics & Targets,M1,Absolute gross Scope 1 emissions,4,high,Rio Tinto Annual Report 2025 (Climate),AR2025 Climate p.81,"Scope 1 = 24.0 Mt CO2e (equity, 2025) with multi-year series.",
Rio Tinto,Metrics & Targets,M2,Absolute gross Scope 2 (location + market based),4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.81,"Both bases disclosed: Scope 2 market-based 7.5 Mt and location-based 8.5 Mt (equity, 2025).",
Rio Tinto,Metrics & Targets,M3,Absolute gross Scope 3 with categories,4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.81-82,Scope 3 = 575.7 Mt CO2e (2025) with full category breakdown and multi-year series.,
Rio Tinto,Metrics & Targets,M4,Assets/activities vulnerable to transition risk (amount/%),4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.76 & p.81,Quantified: 82% of Scope 1 covered by emissions-limiting regulation; % and amount of hard-to-abate emissions; % of operating costs exposed to fossil fuels.,
Rio Tinto,Metrics & Targets,M5,Assets/activities vulnerable to physical risk (amount/%),4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.75 & p.80,"Quantified: % and amount of assets exposed to unmitigated physical risks, supplemented by an annualised damage risk score. Best-in-cohort.",
Rio Tinto,Metrics & Targets,M6,Assets/activities aligned with climate opportunities (amount/%),4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.83,Transition-materials metrics: key/other transition-materials production and capital expenditure disclosed as the opportunity metric.,
Rio Tinto,Metrics & Targets,M7,Capital deployment toward climate,4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.58 & p.83,Decarbonisation spend plus transition-materials capital expenditure disclosed.,
Rio Tinto,Metrics & Targets,M8,Internal carbon price (applied + price level),4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.73,Internal carbon price range and scenario parameters disclosed and used to inform consensus price forecasts.,
Rio Tinto,Metrics & Targets,M9,Climate factored into executive remuneration (% linked),4,high,Rio Tinto Annual Report 2025 (Rem),AR2025 p.122-139,Climate-related measures in both STIP and LTIP; % of executive remuneration linked to climate disclosed.,
Rio Tinto,Metrics & Targets,M10,Industry-based (SASB) metrics,3,medium,Rio Tinto Annual Report 2025 + Sustainability Fact Book,AR2025; Fact Book 2025,Extensive metrics incl. CA100+ Net Zero Standard for Diversified Mining; SASB mapping in Fact Book to confirm.,
Rio Tinto,Metrics & Targets,M11,Targets with baseline/period/interim milestones,4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.~72 & p.81,"Operational emissions -50% by 2030, net zero by 2050 (2018 baseline); plus steel, alumina, shipping and procurement Scope 3 targets. Defined metric, baseline and timeframe.",
Rio Tinto,Metrics & Targets,M12,GHG target detail (scopes/gross-net/offsets/sectoral/Paris),4,high,Rio Tinto Annual Report 2025,AR2025 Climate p.81 & p.~95,Gross/net basis disclosed; carbon credits modest (1.2 Mt vs 31.5 Mt gross Scope 1+2); discloses where sectoral decarbonisation approach is/ is not used. Scope 3 steel targets are largely action/intensity-based rather than an absolute total-Scope-3 cut.,
Rio Tinto,Metrics & Targets,M13,Performance vs target + third-party assurance,4,high,Rio Tinto Annual Report 2025 + Fact Book,AR2025 Climate p.81; Fact Book 2025,Multi-year performance series (2021-2025); Sustainability Fact Book; external assurance applied.,
